Timestamp,Select mood that has to be changed to happy,Link (YouTube/Spotify/etc.),Type
11/28/2022 18:28:19,Angry,https://youtu.be/dQw4w9WgXcQ,Music
11/28/2022 18:28:35,Neutral,https://youtu.be/dQw4w9WgXcQ,Music
11/28/2022 18:28:45,Surprised,https://youtu.be/dQw4w9WgXcQ,Music
11/28/2022 18:33:16,Fearful,https://youtu.be/YaEG2aWJnZ8,Music
11/28/2022 18:33:31,Sad,https://youtu.be/YaEG2aWJnZ8,Music
11/28/2022 18:33:41,Surprised,https://youtu.be/YaEG2aWJnZ8,Music
11/28/2022 18:34:18,Angry,https://youtu.be/ijfLsKg8jFY,Meditation
11/28/2022 18:34:29,Neutral,https://youtu.be/ijfLsKg8jFY,Meditation
11/28/2022 18:35:02,Angry,https://youtu.be/CDnEKUDNwMM,Meditation
11/28/2022 18:35:22,Angry,https://youtu.be/sJ2U1cOvqQM,Meditation
11/28/2022 18:35:32,Neutral,https://youtu.be/sJ2U1cOvqQM,Meditation
11/28/2022 18:35:39,Surprised,https://youtu.be/sJ2U1cOvqQM,Meditation
11/28/2022 18:38:27,Fearful,https://youtu.be/fG1oNm2tCro,Motivation
11/28/2022 18:38:37,Disgusted,https://youtu.be/fG1oNm2tCro,Motivation
11/28/2022 18:40:33,Neutral,https://youtu.be/fG1oNm2tCro,Motivation
11/28/2022 18:40:43,Sad,https://youtu.be/fG1oNm2tCro,Motivation
11/28/2022 18:41:28,Angry,https://youtu.be/qkxuFKqJXWY,Jokes
11/28/2022 18:41:38,Neutral,https://youtu.be/qkxuFKqJXWY,Jokes
11/28/2022 18:41:47,Surprised,https://youtu.be/qkxuFKqJXWY,Jokes
11/28/2022 18:43:02,Angry,https://youtu.be/LI6bwEM-spI,Jokes
11/28/2022 18:43:14,Neutral,https://youtu.be/LI6bwEM-spI,Jokes
11/28/2022 18:43:23,Surprised,https://youtu.be/LI6bwEM-spI,Jokes
11/28/2022 18:43:31,Sad,https://youtu.be/LI6bwEM-spI,Jokes
11/28/2022 18:43:58,Neutral,https://youtu.be/e8nrpyUFY7Y,Games
11/28/2022 18:44:31,Neutral,https://youtu.be/dfnCAmr569k,Music
11/28/2022 18:44:42,Surprised,https://youtu.be/dfnCAmr569k,Music
11/28/2022 18:45:14,Fearful,https://youtu.be/xLYiIBCN9ec,Music
11/28/2022 18:45:49,Sad,https://youtu.be/xLYiIBCN9ec,Music
11/28/2022 18:46:06,Disgusted,https://youtu.be/xLYiIBCN9ec,Music
11/28/2022 18:46:16,Angry,https://youtu.be/xLYiIBCN9ec,Music
11/28/2022 18:49:18,Fearful,https://youtu.be/n9_gWiwAWrA,Music
11/28/2022 18:49:33,Angry,https://youtu.be/n9_gWiwAWrA,Music
11/28/2022 18:49:50,Disgusted,https://youtu.be/n9_gWiwAWrA,Music
11/28/2022 18:50:15,Angry,https://youtu.be/JEoxUG898qY,Meditation
11/28/2022 18:51:25,Sad,https://youtu.be/vit9ZYPl-cs,Music
11/28/2022 18:51:34,Sad,https://youtu.be/ZSNnoMDOgFc,Music
11/28/2022 18:51:48,Fearful,https://youtu.be/vit9ZYPl-cs,Music
11/28/2022 18:52:01,Angry,https://youtu.be/vit9ZYPl-cs,Music
11/28/2022 18:52:18,Disgusted,https://youtu.be/vit9ZYPl-cs,Music
11/28/2022 18:53:35,Disgusted,https://youtu.be/REAwGmv0Fuk,Music
11/28/2022 18:53:47,Neutral,https://youtu.be/REAwGmv0Fuk,Music
11/28/2022 18:54:02,Sad,https://youtu.be/REAwGmv0Fuk,Music
11/28/2022 18:55:41,Sad,https://youtu.be/jFl0A8lxRnU,Music
11/28/2022 18:55:59,Angry,https://youtu.be/jFl0A8lxRnU,Music
11/28/2022 18:56:13,Fearful,https://youtu.be/jFl0A8lxRnU,Music
11/28/2022 18:56:33,Neutral,https://youtu.be/jFl0A8lxRnU,Music
11/28/2022 18:58:29,Angry,https://youtu.be/dQw4w9WgXcQ,Music
11/28/2022 18:59:01,Angry,https://youtu.be/sCvV5etm08k,Meditation
11/28/2022 18:59:04,Disgusted,https://youtu.be/8zqozcPI6WI,Motivation
11/28/2022 18:59:13,Disgusted,https://youtu.be/sCvV5etm08k,Meditation
11/28/2022 18:59:25,Sad,https://youtu.be/sCvV5etm08k,Meditation
11/28/2022 19:17:31,Sad,https://music.youtube.com/watch?v=mzNWUL7s1_0&feature=share,Music
11/28/2022 19:17:42,Angry,https://youtu.be/rtTI1rh9U5M,Music
11/28/2022 19:18:58,Sad,https://youtu.be/I63RkFdgjos,Music
11/28/2022 19:19:49,Sad,https://youtu.be/5afErrqrs6w,Jokes
11/28/2022 19:20:06,Neutral,https://music.youtube.com/watch?v=022vasrl_JU&feature=share,Jokes
11/28/2022 19:20:15,Angry,https://youtu.be/FCxmY-390xM,Meditation
11/28/2022 19:20:53,Sad,https://music.youtube.com/watch?v=gnrSX7TQJqU&feature=share,Meditation
11/28/2022 19:26:37,Fearful,https://youtu.be/ZYF8MYMXOQA,Motivation
11/28/2022 19:27:08,Angry,https://youtu.be/zIqqQ51hHRQ,Jokes
11/28/2022 21:19:26,Neutral,https://youtu.be/cMHXFKAN6Dk,Music
11/28/2022 21:20:19,Angry,https://youtu.be/sTVgH-R_Q5o,Jokes
11/28/2022 21:20:57,Neutral,https://youtu.be/OgP9eqCqLs4,Jokes
11/28/2022 21:51:52,Fearful,https://youtu.be/r6SbfF9FjTg,Motivation
11/28/2022 22:05:33,Angry,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Music
